Time,Energy,Temperature
2005-01-01,7658,4.2
2005-01-02,2900,1.8
2005-01-03,6256,2.7
2005-01-04,766,4.3
2005-01-05,1269,-0.6
2005-01-06,7773,-5.1
2005-01-07,7811,-6.2
2005-01-08,3793,-2.7
2005-01-09,7172,2.8
2005-01-10,4841,3.7
2005-01-11,2360,4.5
2005-01-12,873,2.2
2005-01-13,7924,-4.9
2005-01-14,7821,-4.9
2005-01-15,7785,-3.8
2005-01-16,5706,-2.4
2005-01-17,5086,0.3
2005-01-18,2878,3.1
2005-01-19,5484,5.7
2005-01-20,7573,7.2
2005-01-21,3802,6.8
2005-01-22,4112,5.0
2005-01-23,6898,5.4
2005-01-24,7775,6.5
2005-01-25,7786,5.9
2005-01-26,2212,4.7
2005-01-27,4071,4.7
2005-01-28,4439,4.8
2005-01-29,1023,2.3
2005-01-30,1062,1.9
2005-01-31,1959,0.1
2005-02-01,6431,-1.6
2005-02-02,7945,-3.8
2005-02-03,7799,-1.9
2005-02-04,8045,0.1
2005-02-05,6112,1.2
2005-02-06,2530,2.8
2005-02-07,1456,1.5
2005-02-08,2981,1.1
2005-02-09,8224,-2.5
2005-02-10,4955,1.8
2005-02-11,3709,5.2
2005-02-12,1512,6.3
2005-02-13,8020,6.7
2005-02-14,7769,5.0
2005-02-15,7092,5.5
2005-02-16,1171,4.8
2005-02-17,7605,4.9
2005-02-18,2313,5.2
2005-02-19,3822,5.3
2005-02-20,6477,4.5
2005-02-21,7196,3.9
2005-02-22,2735,4.9
2005-02-23,937,3.4
2005-02-24,8144,3.1
2005-02-25,5566,2.5
2005-02-26,4633,2.2
2005-02-27,6904,2.7
2005-02-28,7868,3.3
2005-03-01,6036,4.5
2005-03-02,8123,4.9
2005-03-03,5930,6.1
2005-03-04,7999,6.6
2005-03-05,5425,7.8
2005-03-06,7629,7.7
2005-03-07,7869,7.7
2005-03-08,5164,7.9
2005-03-09,6710,7.2
2005-03-10,7581,5.8
2005-03-11,6938,5.8
2005-03-12,7896,5.8
2005-03-13,993,8.2
2005-03-14,1579,1.1
2005-03-15,7463,-1.3
2005-03-16,6231,-2.6
2005-03-17,6231,0.5
2005-03-18,5247,2.9
2005-03-19,6791,4.6
2005-03-20,5667,6.9
2005-03-21,3252,6.0
2005-03-22,7770,7.0
2005-03-23,3662,7.9
2005-03-24,4421,6.7
2005-03-25,1173,5.2
2005-03-26,4009,4.3
2005-03-27,7628,4.5
2005-03-28,4387,10.2
2005-03-29,3642,8.8
2005-03-30,3424,5.1
2005-03-31,3846,3.1
2005-04-01,7521,6.1
2005-04-02,7226,9.7
2005-04-03,6881,10.4
2005-04-04,5857,11.3
2005-04-05,2239,9.0
2005-04-06,7508,10.2
2005-04-07,7494,10.7
2005-04-08,4001,12.2
2005-04-09,6220,9.5
2005-04-10,1367,5.1
2005-04-11,6515,4.5
2005-04-12,7338,8.5
2005-04-13,7413,11.6
2005-04-14,6162,13.5
2005-04-15,5040,12.4
2005-04-16,5075,11.8
2005-04-17,4091,12.5
2005-04-18,7018,12.9
2005-04-19,7103,13.2
2005-04-20,7006,13.4
2005-04-21,7069,10.9
2005-04-22,6592,11.1
2005-04-23,6469,12.8
2005-04-24,1840,11.6
2005-04-25,4222,8.8
2005-04-26,6307,10.9
2005-04-27,4606,11.1
2005-04-28,3279,11.2
2005-04-29,3040,8.8
2005-04-30,5418,8.3
2005-05-01,2070,8.1
2005-05-02,2580,7.8
2005-05-03,5486,9.2
2005-05-04,4819,11.2
2005-05-05,4940,13.3
2005-05-06,3966,14.3
2005-05-07,5623,11.0
2005-05-08,4175,11.6
2005-05-09,5365,14.0
2005-05-10,6366,16.0
2005-05-11,4780,15.2
2005-05-12,5786,11.2
2005-05-13,3974,12.4
2005-05-14,4257,14.4
2005-05-15,5730,15.0
2005-05-16,5667,15.9
2005-05-17,5674,18.3
2005-05-18,5733,16.6
2005-05-19,6080,20.3
2005-05-20,5343,23.0
2005-05-21,5378,23.8
2005-05-22,5937,23.4
2005-05-23,5054,23.5
2005-05-24,5182,22.9
2005-05-25,5378,21.4
2005-05-26,4524,18.6
2005-05-27,5927,18.4
2005-05-28,4336,19.5
2005-05-29,4659,18.3
2005-05-30,2237,17.4
2005-05-31,4977,16.0
2005-06-01,5408,17.4
2005-06-02,5621,20.1
2005-06-03,5087,18.8
2005-06-04,3571,14.4
2005-06-05,5903,14.8
2005-06-06,5316,19.5
2005-06-07,5850,19.8
2005-06-08,5852,19.0
2005-06-09,3481,19.6
2005-06-10,3151,17.0
2005-06-11,5092,15.3
2005-06-12,5516,16.2
2005-06-13,5824,16.2
2005-06-14,5717,18.9
2005-06-15,4507,21.6
2005-06-16,5511,24.0
2005-06-17,5711,22.9
2005-06-18,5712,23.7
2005-06-19,5744,24.9
2005-06-20,4334,26.0
2005-06-21,4816,26.1
2005-06-22,3752,25.6
2005-06-23,4604,23.7
2005-06-24,3857,23.2
2005-06-25,2957,22.8
2005-06-26,3970,22.3
2005-06-27,5673,23.1
2005-06-28,3809,24.1
2005-06-29,5733,23.0
2005-06-30,4958,24.1
2005-07-01,4373,24.4
2005-07-02,5681,25.0
2005-07-03,5067,24.7
2005-07-04,4190,23.1
2005-07-05,4885,23.6
2005-07-06,4811,24.6
2005-07-07,5307,25.8
2005-07-08,3523,26.3
2005-07-09,3816,26.2
2005-07-10,5312,25.8
2005-07-11,5726,26.4
2005-07-12,4814,27.9
2005-07-13,5510,27.7
2005-07-14,5142,28.0
2005-07-15,4965,28.0
2005-07-16,4244,27.8
2005-07-17,3689,28.3
2005-07-18,5369,26.5
2005-07-19,5987,27.5
2005-07-20,5341,29.1
2005-07-21,5505,29.5
2005-07-22,5955,29.3
2005-07-23,3730,29.1
2005-07-24,5013,27.3
2005-07-25,2632,25.4
2005-07-26,5276,22.9
