time,G(i),H_sun,T2m,WS10m,Int
20050101:0000,0.0,0.0,7.74,2.74,0.0
20050101:0100,0.0,0.0,5.64,2.74,0.0
20050101:0200,0.0,0.0,3.54,2.74,0.0
20050101:0300,0.0,0.0,1.44,2.74,0.0
20050101:0400,0.0,0.0,1.66,2.8,0.0
20050101:0500,0.0,0.0,1.87,2.86,0.0
20050101:0600,0.0,0.0,2.09,2.91,0.0
20050101:0700,0.0,0.0,2.35,2.99,0.0
20050101:0800,0.0,0.0,2.62,3.07,0.0
20050101:0900,0.0,0.0,2.88,3.14,0.0
20050101:1000,0.0,0.0,2.79,3.16,0.0
20050101:1100,0.0,0.0,2.7,3.18,0.0
20050101:1200,0.0,0.0,2.6,3.2,0.0
20050101:1300,0.0,0.0,2.79,3.2,0.0
20050101:1400,0.0,0.0,2.98,3.19,0.0
20050101:1500,401.25,6.05,3.17,3.19,0.0
20050101:1600,730.09,14.89,4.54,3.48,0.0
20050101:1700,951.33,21.98,5.92,3.77,0.0
20050101:1800,1089.87,26.72,7.29,4.06,0.0
20050101:1900,1141.46,28.54,7.56,4.51,0.0
20050101:2000,1104.24,27.18,7.82,4.96,0.0
20050101:2100,982.79,22.84,8.08,5.41,0.0
20050101:2200,777.59,16.05,6.5,4.56,0.0
20050101:2300,479.72,7.43,4.92,3.71,0.0
20050102:0000,0.0,0.0,3.34,2.87,0.0
20050102:0100,0.0,0.0,2.16,2.86,0.0
20050102:0200,0.0,0.0,0.98,2.86,0.0
20050102:0300,0.0,0.0,-0.2,2.86,0.0
20050102:0400,0.0,0.0,-0.29,2.74,0.0
20050102:0500,0.0,0.0,-0.39,2.63,0.0
20050102:0600,0.0,0.0,-0.48,2.51,0.0
20050102:0700,0.0,0.0,-0.64,2.47,0.0
20050102:0800,0.0,0.0,-0.81,2.43,0.0
20050102:0900,0.0,0.0,-0.97,2.39,0.0
20050102:1000,0.0,0.0,-1.13,2.37,0.0
20050102:1100,0.0,0.0,-1.29,2.35,0.0
20050102:1200,0.0,0.0,-1.46,2.33,0.0
20050102:1300,0.0,0.0,-1.26,2.35,0.0
20050102:1400,0.0,0.0,-1.07,2.38,0.0
20050102:1500,20.45,6.04,-0.87,2.4,0.0
20050102:1600,417.44,14.9,1.58,2.0,0.0
20050102:1700,646.54,22.02,4.04,1.6,0.0
20050102:1800,770.05,26.78,6.5,1.2,0.0
20050102:1900,624.29,28.63,7.21,1.43,0.0
20050102:2000,154.78,27.29,7.92,1.66,0.0
20050102:2100,158.14,22.96,8.63,1.89,0.0
20050102:2200,84.65,16.18,6.89,2.02,0.0
20050102:2300,23.6,7.56,5.15,2.16,0.0
20050103:0000,0.0,0.0,3.41,2.29,0.0
20050103:0100,0.0,0.0,2.62,2.29,0.0
20050103:0200,0.0,0.0,1.82,2.28,0.0
20050103:0300,0.0,0.0,1.03,2.28,0.0
20050103:0400,0.0,0.0,0.88,2.36,0.0
20050103:0500,0.0,0.0,0.73,2.44,0.0
20050103:0600,0.0,0.0,0.58,2.52,0.0
20050103:0700,0.0,0.0,0.73,2.6,0.0
20050103:0800,0.0,0.0,0.87,2.68,0.0
20050103:0900,0.0,0.0,1.02,2.76,0.0
20050103:1000,0.0,0.0,0.63,2.77,0.0
20050103:1100,0.0,0.0,0.25,2.79,0.0
20050103:1200,0.0,0.0,-0.14,2.8,0.0
20050103:1300,0.0,0.0,-0.33,2.73,0.0
20050103:1400,0.0,0.0,-0.51,2.66,0.0
20050103:1500,378.23,6.04,-0.7,2.59,0.0
20050103:1600,694.37,14.91,1.83,2.21,0.0
20050103:1700,911.38,22.05,4.36,1.83,0.0
20050103:1800,1047.18,26.85,6.89,1.45,0.0
20050103:1900,1099.08,28.72,7.7,1.73,0.0
20050103:2000,1064.8,27.4,8.5,2.02,0.0
20050103:2100,118.98,23.08,9.3,2.3,0.0
20050103:2200,745.76,16.31,7.37,2.45,0.0
20050103:2300,196.06,7.7,5.44,2.6,0.0
20050104:0000,0.0,0.0,3.5,2.74,0.0
20050104:0100,0.0,0.0,2.7,2.56,0.0
20050104:0200,0.0,0.0,1.9,2.38,0.0
20050104:0300,0.0,0.0,1.1,2.19,0.0
20050104:0400,0.0,0.0,1.63,2.14,0.0
20050104:0500,0.0,0.0,2.15,2.09,0.0
20050104:0600,0.0,0.0,2.68,2.04,0.0
20050104:0700,0.0,0.0,3.12,2.23,0.0
20050104:0800,0.0,0.0,3.57,2.42,0.0
20050104:0900,0.0,0.0,4.01,2.61,0.0
20050104:1000,0.0,0.0,4.34,2.53,0.0
20050104:1100,0.0,0.0,4.67,2.45,0.0
20050104:1200,0.0,0.0,5.0,2.37,0.0
20050104:1300,0.0,0.0,4.79,2.47,0.0
20050104:1400,0.0,0.0,4.58,2.57,0.0
20050104:1500,142.25,6.04,4.37,2.68,0.0
20050104:1600,302.07,14.94,5.35,2.54,0.0
20050104:1700,25.96,22.1,6.34,2.4,0.0
20050104:1800,37.76,26.92,7.32,2.26,0.0
20050104:1900,66.86,28.82,6.99,2.77,0.0
20050104:2000,38.54,27.52,6.66,3.28,0.0
20050104:2100,35.4,23.22,6.32,3.79,0.0
20050104:2200,114.51,16.45,5.57,3.53,0.0
20050104:2300,3.15,7.84,4.82,3.27,0.0
20050105:0000,0.0,0.0,4.06,3.01,0.0
20050105:0100,0.0,0.0,2.54,3.18,0.0
20050105:0200,0.0,0.0,1.02,3.36,0.0
20050105:0300,0.0,0.0,-0.5,3.53,0.0
20050105:0400,0.0,0.0,-1.06,3.42,0.0
20050105:0500,0.0,0.0,-1.61,3.3,0.0
20050105:0600,0.0,0.0,-2.17,3.19,0.0
20050105:0700,0.0,0.0,-2.39,3.28,0.0
20050105:0800,0.0,0.0,-2.62,3.38,0.0
20050105:0900,0.0,0.0,-2.84,3.48,0.0
20050105:1000,0.0,0.0,-2.76,3.2,0.0
20050105:1100,0.0,0.0,-2.68,2.91,0.0
20050105:1200,0.0,0.0,-2.61,2.63,0.0
20050105:1300,0.0,0.0,-2.36,2.5,0.0
20050105:1400,0.0,0.0,-2.1,2.36,0.0
20050105:1500,3.15,6.05,-1.85,2.22,0.0
20050105:1600,11.01,14.97,-1.16,1.86,0.0
20050105:1700,188.61,22.15,-0.47,1.49,0.0
20050105:1800,195.14,27.0,0.22,1.13,0.0
20050105:1900,205.88,28.92,1.08,1.03,0.0
20050105:2000,219.7,27.65,1.94,0.92,0.0
20050105:2100,233.02,23.36,2.79,0.81,0.0
20050105:2200,210.13,16.6,1.21,1.13,0.0
20050105:2300,2.36,7.99,-0.37,1.45,0.0
20050106:0000,0.0,0.0,-1.96,1.77,0.0
20050106:0100,0.0,0.0,-2.68,1.37,0.0
20050106:0200,0.0,0.0,-3.41,0.97,0.0
20050106:0300,0.0,0.0,-4.13,0.58,0.0
20050106:0400,0.0,0.0,-5.29,0.86,0.0
20050106:0500,0.0,0.0,-6.45,1.14,0.0
20050106:0600,0.0,0.0,-7.61,1.42,0.0
20050106:0700,0.0,0.0,-8.02,1.85,0.0
20050106:0800,0.0,0.0,-8.44,2.29,0.0
20050106:0900,0.0,0.0,-8.85,2.72,0.0
20050106:1000,0.0,0.0,-9.24,2.93,0.0
20050106:1100,0.0,0.0,-9.63,3.14,0.0
20050106:1200,0.0,0.0,-10.03,3.35,0.0
20050106:1300,0.0,0.0,-9.94,3.27,0.0
20050106:1400,0.0,0.0,-9.86,3.2,0.0
20050106:1500,406.46,6.07,-9.77,3.12,0.0
20050106:1600,735.97,15.0,-6.4,2.98,0.0
20050106:1700,957.01,22.21,-3.02,2.84,0.0
20050106:1800,1098.28,27.09,0.36,2.7,0.0
20050106:1900,1151.76,29.04,1.03,3.31,0.0
20050106:2000,1117.5,27.78,1.7,3.92,0.0
20050106:2100,1000.65,23.5,2.36,4.52,0.0
20050106:2200,797.71,16.75,-0.24,4.29,0.0
20050106:2300,507.24,8.14,-2.84,4.05,0.0
20050107:0000,0.0,0.0,-5.45,3.81,0.0
